#,Variety Name,Category,NSIC Code,Yield,Maturity,Urea (46-0-0) (Solid),Complete (14-14-14) (Solid),Ammonium Sulfate (21-0-0) (Solid),Muriate of Potash (0-0-60) (Solid),Biofertilizer (Liquid Concentrate) (Liquid),Nanobiofertilizer (Liquid),Organic Root Exudate Mix (Liquid),Azolla microphylla (Liquid),Foliar Liquid Fertilizer (NPK) (Liquid)
,,,,,,Solid,Solid,Solid,Solid,Liquid,Liquid,Liquid,Liquid,Liquid
10,TH82,Hybrid,Hybrid,High,~113 days,Stimulates early vigor and canopy cover; improves competitive ability against weeds.,Accelerates early growth for hybrid vigor; potassium improves stalk strength from seedling stage.,Boosts culm strength through improved N-S balance; reduces lodging risk at high yield levels.,Enhances disease resistance; potassium activates defense enzymes against blast and sheath blight.,Brassinosteroid improves stress signaling; apply at reproductive stage to reduce sterility under fluctuating temperatures.,Beneficial fungi improve root surface area; nano-NPK ensures rapid replenishment of nutrients during peak demand.,Root exudate mix stimulates phosphate-solubilizing bacteria; improves P uptake without additional P fertilizer input.,Biological N from Azolla supplements inorganic fertilizer; improves N use efficiency and reduces environmental N losses.,Water-soluble foliar application improves disease resistance; potassium component strengthens cell walls against pathogen entry.
11,RH9000,Hybrid,Hybrid,High,~113 days,Increases filled grains per panicle; nitrogen timing at heading is critical for grain plumpness.,Stimulates early root development; balanced NPK ensures vigorous establishment in irrigated fields.,Improves grain filling efficiency; sulfur promotes enzyme systems involved in starch synthesis.,Boosts filled grain ratio; K improves sink strength and assimilate remobilization to grains.,Enhances grain filling rate; biostimulant compounds improve assimilate mobilization from leaves to developing grains.,Bacteria component provides growth-promoting substances; combined with nano-K improves grain plumpness and weight.,Organic materials feed earthworms and soil fauna; improves soil physical structure for better root penetration.,Azolla biomass improves soil organic carbon; slow-release N from decomposition supports consistent hybrid growth.,Foliar K at reproductive stage maximizes grain filling; rapid absorption supports assimilate movement to developing grains.
,,,,,,,,,,,,,,
,🟪 INBRED SEEDS — 21 Varieties,,,,,,,,,,,,,
1,NSIC Rc 222,Inbred,NSIC Rc222,~6.5 t/ha,~120 days,Promotes uniform tillering and high plant stand; apply at transplanting and 21 DAT for best response.,Provides complete basal nutrition; phosphorus promotes tillering and root proliferation.,Effective in slightly alkaline lowland soils; S component improves sulfur-deficient paddy fields.,Reduces lodging in high-yield conditions; improves milling quality through better grain development.,Promotes uniform crop stand through improved root activity; iron supports chlorophyll and reduces mid-season yellowing.,Nano-NPK supports sustained release to match crop demand; sea kelp and humic acid improve soil biology.,Boosts beneficial rhizobacteria population; improves nutrient cycling and reduces dependence on synthetic inputs.,Reduces N fertilizer cost for widely planted inbred; Azolla organic N supports yield without excess mineral N input.,Foliar NPK corrects mid-season deficiency without flooding disruption; improves yield consistency in widely planted variety.
2,NSIC Rc 402,Inbred,NSIC Rc402,~7 t/ha,~118 days,Supports sustained nitrogen uptake; split application at 3 stages improves grain yield by ~15%.,Supports early stand establishment; balanced NPK reduces nutrient deficiency risks at transplanting.,Provides N + S for improved grain quality; sulfur reduces protein dilution at high yields.,Enhances grain plumpness and weight; K at PI stage significantly improves head rice recovery.,Zinc and micronutrient support improves N use efficiency; foliar application at tillering boosts leaf area and crop vigor.,"Microbial inoculants (bacteria, fungi) enhance nutrient cycling; nano-P improves phosphorus use efficiency.",Organic acids improve P solubilization; reduces P fixation in clay-heavy paddy soils common in lowlands.,Green manure improves soil fertility index; Azolla-released nutrients support high-yield inbred's demand sustainably.,Water-soluble NPK at PI improves panicle exsertion; foliar application bypasses soil P fixation common in lowland paddies.
3,NSIC Rc 480,Inbred,NSIC Rc480,~7 t/ha,~118 days,Enhances leaf area and light interception; top-dress at active tillering for optimum tiller production.,Enhances seedling establishment and root growth; potassium improves early drought stress tolerance.,Supports sustained canopy greenness; S component improves N utilization efficiency.,Improves stress tolerance; K supports high yield stability across different soil conditions.,Triacontanol enhances photosynthesis under field conditions; biostimulant reduces heat/drought stress impact on yield.,Algae-derived biostimulants improve stress tolerance; nano-nutrient delivery reduces fertilizer application frequency.,Root exudate activity improves soil aggregation; enhances water-holding capacity in sandy or degraded paddy soils.,Biological N fixation supplements chemical N; Azolla biomass improves soil moisture retention for irrigated inbred.,Foliar NPK at critical stages improves nutrient uptake efficiency; reduces total fertilizer input while maintaining yield.
4,NSIC Rc 216,Inbred,NSIC Rc216,~6 t/ha,~122 days,Improves eating quality grain protein; moderate N rates needed to maintain soft cooked texture.,Promotes healthy vegetative growth without excess nitrogen; maintains grain quality characteristics.,Moderately improves grain protein; careful S rate management needed to maintain eating quality.,Improves cooking quality through better starch development; K supports amylose content regulation.,"Improves eating quality through better starch quality; micronutrients (Zn, Fe) support enzyme activity for amylose synthesis.",Fulvic acid improves nutrient uptake without excess; quality-focused application maintains eating quality characteristics.,Organic compounds support microbial production of auxins and cytokinins; improves grain quality through better plant hormone balance.,Organic N from Azolla maintains moderate N supply; prevents excess N that could reduce eating quality of this variety.,Moderate foliar NPK maintains eating quality; careful K application at heading improves grain starch composition.
5,NSIC Rc 160,Inbred,NSIC Rc160,~6 t/ha,~125 days,Increases head rice recovery; excess N may reduce milling quality — apply at recommended rate only.,Supports premium variety establishment; balanced nutrition promotes uniform crop stand.,Sulfur improves protein fractions favorable to cooking quality; apply at tillering stage.,Boosts head rice percentage; potassium critical for premium grain quality development.,Enhances premium quality grain development; copper supports oxidative enzyme activity improving grain translucency.,Sea kelp cytokinins improve grain development; nano-scale nutrients support premium grain quality expression.,Promotes healthy root environment for premium quality grain development; organic acids improve micronutrient uptake.,Azolla provides slow-release N ideal for premium varieties; reduces risk of over-fertilization that lowers milling quality.,Foliar NPK supports premium grain development; water-soluble application avoids soil luxury consumption issues.
6,NSIC Rc 218,Inbred,NSIC Rc218,~6 t/ha,~120 days,Promotes early canopy closure; apply basal N at transplanting plus top-dress at tillering.,Enables fast early growth; complete fertilizer reduces need for multiple basal applications.,Enhances vegetative vigor with S support; reduces mid-season yellowing in sulfur-deficient soils.,Enhances grain filling and reduces chalky grains; K improves translucency of milled rice.,Vitamin B1 improves root growth and carbohydrate metabolism; foliar spray reduces transplanting shock effectively.,Bacterial component improves N fixation in rhizosphere; reduces total synthetic fertilizer requirement by 10–15%.,Root exudate mix enhances soil microbial biomass; improves long-term soil fertility and reduces fertilizer inputs.,Green manure incorporation improves soil biology; Azolla N release timing aligns with inbred's early vegetative demand.,Water-soluble nutrients rapidly absorbed to support tillering and heading; improves crop uniformity and yield stability.
7,NSIC Rc 506,Inbred,NSIC Rc506,7–8.6 t/ha,~115 days,Enables hybrid-like yield response; high N efficiency variety — responds well to split application.,Provides nutrition foundation for next-gen yield expression; all macro-nutrients support high HI.,Improves N uptake efficiency; S component supports high HI through better N partitioning.,Supports high harvest index; K improves assimilate transport efficiency to grain sinks.,Boosts next-gen variety's yield ceiling; biostimulant compounds improve sink strength and grain set percentage.,Nano-nutrient delivery supports high harvest index; fungi improve phosphorus acquisition for large panicle development.,Organic compounds feed high-yield soil microbiome; supports sustained nutrient release matching next-gen variety's demand.,Azolla pre-incorporation builds soil N reserve; supports next-gen inbred's high yield potential with organic N base.,Foliar NPK boosts next-gen inbred's high yield potential; supplemental application at 2–3 stages maximizes HI.
8,NSIC Rc 508,Inbred,NSIC Rc508,High,~115 days,Boosts spikelet number per panicle; N at PI stage is critical for yield expression.,Stimulates early root and shoot development; supports high spikelet number potential.,Boosts spikelet grain weight through improved N-S nutrition; apply at active tillering.,Reduces spikelet sterility; potassium improves pollen viability and fertilization success.,Supports large panicle development; micronutrient package addresses hidden hunger in high-yield paddy soils.,Algae and bacterial consortia improve soil health; nano-NPK supports spikelet development and grain filling.,Root exudate compounds improve P and K mobilization; reduces nutrient stratification in flooded paddy soils.,Biological N reduces mineral fertilizer dependence; Azolla organic matter improves soil health for high-yield production.,Rapid foliar uptake supports large panicle development; NPK spray at heading reduces spikelet sterility percentage.
9,NSIC Rc 512,Inbred,NSIC Rc512,High,~115 days,Increases panicle weight; recommended to use SPAD meter for precision N management.,Promotes uniform stand establishment; phosphorus component critical for early panicle differentiation.,Supports high yield with improved protein content; S ensures complete N metabolism.,Improves grain sink activity; K application at heading reduces unfilled grain percentage.,Improves grain fill completeness; brassinosteroid action at heading stage reduces empty spikelet percentage.,Humic and fulvic acids improve root elongation; nano-K improves assimilate movement to developing grains.,Rhizosphere activation improves micronutrient uptake; organic acids support iron reduction needed in flooded soils.,Azolla green manure increases available N by 20–30 kg/ha; supports high spikelet number potential of this variety.,Water-soluble K at heading improves grain set; foliar application maximizes the high spikelet number of this variety.
10,NSIC Rc 534,Inbred,NSIC Rc534,High,~115 days,Supports high yield potential; nitrogen management at PI and heading stages key for grain filling.,Supports high-yield potential from establishment; balanced NPK improves crop uniformity.,Promotes high grain N content; sulfur prevents protein deficiency at heading stage.,Supports high yield stability; potassium improves resilience against end-of-season moisture stress.,Enhances stress resilience during reproductive stage; biostimulant supports uniform heading and grain maturation.,Sea kelp promotes uniform heading; nano-scale nutrients correct hidden deficiencies for improved yield stability.,Promotes soil biological activity; organic mix supports nitrogen mineralization from soil organic matter reserves.,Pre-plant Azolla incorporation builds soil N; improves long-term soil fertility for high-yield inbred varieties.,Foliar NPK at critical stages supports yield stability; water-soluble nutrients correct deficiencies under variable field conditions.
11,Tubigan 28,Inbred,NSIC Rc354,Max 9 t/ha,112 days,Enhances tiller count in early-maturing variety; apply smaller split doses due to short 112-day growth duration.,Rapidly establishes short-duration variety; complete basal nutrition maximizes the limited growth period.,Effective for short-duration variety; quick N release supports rapid growth in 112-day cycle.,Improves early-maturing variety standability; K reduces lodging risk in short-duration growth.,Accelerates maturation in early-maturing variety; micronutrients support rapid grain filling within 112-day window.,Rapid nano-nutrient uptake suits short-duration growth; algae extract accelerates maturation and grain filling.,Rapid rhizosphere activation suits short-duration variety; organic compounds quickly boost beneficial microbial activity.,Fast N release from Azolla suits short-duration variety; early incorporation before transplanting boosts early N availability.,Quick-release foliar NPK suits 112-day variety; timely application at PI and heading maximizes short growth window.
12,Tubigan 30,Inbred,NSIC Rc358,Max 9 t/ha,~118 days,Improves milling recovery; moderate N application preserves premium grain quality.,Promotes strong root system for premium grain development; phosphorus critical for milling quality.,Improves head rice recovery through grain protein support; S component enhances milling quality.,Significantly improves milling recovery; K is critical for premium grain quality in this variety.,Improves head rice recovery through enhanced grain development; Zn and Fe support premium milling quality.,Sea kelp and nano-K support premium grain development; humic acid improves milling quality of this variety.,Improves micronutrient bioavailability for premium grain; organic acids enhance Zn and Fe uptake for milling quality.,Organic N supports premium grain quality development; Azolla avoids excess N peaks that reduce milling quality.,Foliar NPK at heading improves head rice percentage; water-soluble K supports premium milling quality development.
13,Tubigan 22,Inbred,NSIC Rc240,~6 t/ha,~120 days,Promotes steady tillering; apply at 15 and 35 DAT for irrigated lowland conditions.,Supports irrigated lowland establishment; balanced NPK improves plant stand uniformity.,Supports irrigated lowland N demand; sulfur addresses common S deficiency in intensive paddies.,Strengthens stalk and improves irrigated lowland performance; reduces lodging at high N rates.,Zinc component corrects common Zn deficiency in irrigated lowlands; improves plant vigor and yield.,Nano-phosphate improves P use efficiency in irrigated soils; bacterial component reduces P fixation losses.,Enhances soil microbial diversity in intensively farmed irrigated paddies; reduces soil fatigue from continuous cropping.,Azolla reduces inorganic N input in irrigated fields; biomass decomposition improves soil structure over cropping seasons.,Foliar application supplements soil-applied fertilizers; NPK spray corrects mid-season deficiency in irrigated lowland paddies.
14,Sahod Ulan 2,Inbred,NSIC Rc272,~5.5 t/ha,~115 days,Supports drought recovery; N application after rain events improves biomass restoration.,Improves drought variety establishment; phosphorus and potassium enhance root depth and drought tolerance.,Improves N retention in rainfed conditions; S component helps in post-drought recovery nutrition.,Improves drought tolerance; K regulates stomatal closure and reduces water loss under stress.,Brassinosteroid improves drought stress signaling; biostimulant compounds help plant recover faster after dry spells.,Humic acid improves water retention in drought-prone soils; algae extract promotes root depth for better water access.,Organic compounds improve soil moisture retention; root exudate mix enhances water use efficiency in drought-prone areas.,Azolla grown in bunded areas before dry season; organic N reserves support drought variety during early growth.,Foliar NPK applied after rain events maximizes drought variety recovery; water-soluble nutrients support rapid biomass restoration.
15,Sahod Ulan 10,Inbred,NSIC Rc288,~5.5 t/ha,~115 days,Enhances rainfed performance; timing N with onset of rain maximizes uptake efficiency.,Supports rainfed lowland establishment; complete nutrition reduces risk of mid-season nutrient stress.,Provides sustained N for rainfed lowland; sulfur improves uptake in intermittently flooded soils.,Enhances rainfed drought recovery; potassium supports cell turgor maintenance under water stress.,Iron and micronutrients support plant health in rainfed conditions; biostimulant reduces stress during intermittent drought.,Beneficial bacteria improve soil structure in rainfed fields; nano-NPK supports crop nutrition during unpredictable rainfall.,Promotes beneficial soil organisms that improve soil structure; organic mix helps retain moisture between rain events.,Azolla incorporation in pre-season flooding builds N; supports rainfed variety with organic N when rainfall is uncertain.,Water-soluble foliar NPK supports rainfed crop during dry spells; rapid absorption reduces dependence on soil moisture.
16,Salinas 6,Inbred,NSIC Rc290,~5 t/ha,~120 days,Improves salinity tolerance by boosting plant vigor; careful N rate management needed in saline soils.,Helps overcome early saline stress through balanced nutrition; phosphorus improves ion uptake selectivity.,Acidifying effect beneficial in alkaline saline soils; sulfur may partially offset sodium effects.,Counteracts sodium uptake in saline soils; K+ competes with Na+ to improve ion selectivity.,"Micronutrients (Fe, Zn, Cu) improve plant resilience in saline soils; brassinosteroid reduces Na-induced oxidative stress.",Humic acid chelates Na ions reducing plant uptake; nano-K improves K:Na selectivity in saline conditions.,Organic acids help leach excess salts from root zone; promotes salt-tolerant microbial communities in saline soils.,Azolla tolerant forms can grow in mildly saline water; organic N and organic matter help buffer soil salinity effects.,Foliar NPK bypasses saline soil nutrient barriers; direct leaf absorption improves nutrition despite salt-impaired root function.
17,Salinas 7,Inbred,NSIC Rc292,~5 t/ha,~120 days,Supports saline-stress recovery; N promotes new tiller production after salt damage.,Provides nutritional buffer against salinity at establishment; potassium improves salt tolerance mechanisms.,Improves N availability in saline conditions; sulfur supports ion balance in salt-stressed plants.,Reduces salt toxicity through K-Na antagonism; critical fertilizer for saline-tolerant varieties.,Potassium oxide component helps maintain K:Na ratio in salt-stressed plants; reduces ion toxicity effects.,Algae-derived osmolytes help plants tolerate salt stress; nano-nutrients support ion homeostasis in saline soil.,Root exudate compounds improve Na displacement from exchange sites; organic matter reduces Na toxicity near roots.,Organic matter from Azolla decomposition improves saline soil structure; helps desalinize soil surface gradually.,Water-soluble foliar application effective when roots are salt-stressed; K foliar spray maintains K:Na ratio in leaves.
18,Salinas 8,Inbred,NSIC Rc294,~5 t/ha,~120 days,Enhances grain filling in salt-affected fields; split N application reduces salt-nitrogen interaction stress.,Supports saline-tolerant variety establishment; complete basal nutrition builds early stress resilience.,Provides N and S for salt-stressed plant recovery; supports protein synthesis under stress.,Improves saline stress tolerance; K application reduces Na accumulation in plant tissues.,Vitamin B complex supports metabolic recovery under salt stress; biostimulant improves root function in saline conditions.,Fungal component improves root function in saline soil; fulvic acid reduces salt toxicity on root membranes.,Organic mix supports halotolerant microbial activity; improves biological salt detoxification in saline paddy environment.,Azolla biomass improves CEC of saline soils; released organic acids may help reduce salt concentration near roots.,Foliar NPK supports plant nutrition when roots are impaired by salinity; rapid absorption maintains yield in salt-affected fields.
19,Malagkit 5,Inbred,NSIC Rc21 SR,~4 t/ha,~130 days,Increases starch accumulation; moderate N rates maintain glutinous grain quality.,Promotes healthy vegetative growth for specialty rice; balanced NPK maintains grain quality.,Moderate application improves protein content; S component important for glutinous starch quality.,Improves glutinous grain quality; K supports starch synthesis and waxy starch accumulation.,Micronutrients support waxy starch enzyme activity; biostimulant improves glutinous grain quality and stickiness.,Nano-nutrient delivery supports starch synthesis enzymes; sea kelp promotes uniform grain filling in glutinous rice.,Organic compounds support healthy root development for specialty rice; improves soil conditions for glutinous grain quality.,Organic N from Azolla suits glutinous rice moderate N needs; prevents over-application that reduces waxy grain quality.,Foliar NPK at moderate rates supports glutinous grain quality; K spray at heading improves waxy starch accumulation.
20,Lumping143,Inbred,Inbred,Moderate-High,~120 days,Promotes vigorous vegetative establishment; apply at transplanting and peak tillering stage.,Provides strong nutritional start; complete basal application reduces early-season deficiency stress.,Provides N + sulfur support for vegetative growth; effective in paddies with sulfur deficiency.,Strengthens stalk and reduces lodging risk; K improves crop standability at high yield.,Triacontanol promotes early tillering and root development; foliar spray at 2–3 WAT improves establishment.,Bacteria and fungi improve soil nutrient cycling; nano-NPK provides precise nutrition for inbred variety establishment.,Rhizosphere organic activity improves nutrient use efficiency; reduces synthetic fertilizer needs while supporting inbred yield.,Azolla provides sustainable N for inbred variety; organic matter improves soil conditions for consistent yield.,Water-soluble NPK corrects mid-season deficiency; foliar application at PI and heading supports inbred yield target.
21,LP296,Inbred,Inbred,Moderate-High,~120 days,Enhances tiller number and panicle count; split N application at 3 growth stages recommended.,Supports rapid establishment; balanced NPK promotes uniform crop stand and early tiller development.,Improves grain protein and N accumulation; sulfur synergy reduces lodging in high-yield conditions.,Enhances grain filling and reduces chalkiness; K at PI stage improves overall grain quality.,Iron and zinc support crop vigor; brassinosteroid application at PI stage reduces spikelet sterility.,Humic acid improves nutrient retention; nano-K and algae extract support panicle development and grain weight.,Organic acids and root exudates improve K and P mobilization; supports sustainable intensification of inbred rice production.,Biological N fixation reduces input costs for inbred production; Azolla improves soil organic matter over multiple seasons.,Foliar NPK improves nutrient use efficiency; water-soluble application at critical stages maximizes inbred grain yield.
